COD_S11,GENDER,EDU_FATHER,EDU_MOTHER,OCC_FATHER,OCC_MOTHER,STRATUM,SISBEN,PEOPLE_HOUSE,,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,FRESH,PHONE,MOBILE,REVENUE,JOB,SCHOOL_NAME,SCHOOL_NAT,SCHOOL_TYPE,MAT_S11,CR_S11,CC_S11,BIO_S11,ENG_S11,COD_SPRO,UNIVERSITY,ACADEMIC_PROGRAM,QR_PRO,CR_PRO,CC_PRO,ENG_PRO,WC_PRO,FEP_PRO,G_SC,PERCENTILE,2ND_DECILE,QUARTILE,SEL,SEL_IHE
SB11201220047436,M,Complete professional education,Complete professional education,Independent professional,Executive,Stratum 3,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Between 2 and less than 3 LMMW,No,IE INEM FELIPE PEREZ,PUBLIC,TECHNICAL/ACADEMIC,48,49,62,56,58,EK201830063888,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,INDUSTRIAL ENGINEERING,42,44,42,64,22,99,142,43,3,2,3,2
SB11201220047504,M,Complete Secundary,Incomplete Secundary,Operator,Auxiliary or Administrative,Stratum 2,Level 2,Three,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,IE INEM FELIPE PEREZ,PUBLIC,TECHNICAL/ACADEMIC,68,79,77,75,71,EK201830064782,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,ELECTRIC ENGINEERING,96,92,96,99,91,156,200,99,5,4,4,2
SB11201220047513,F,Complete professional education,Complete professional education,Operator,Technical or professional level employee,Stratum 2,It is not classified by the SISBEN,Six,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,IE INEM FELIPE PEREZ,PUBLIC,TECHNICAL/ACADEMIC,53,50,49,54,49,EK201830136194,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,INDUSTRIAL ENGINEERING,35,56,70,57,16,156,145,48,3,2,3,2
SB11201220047663,F,Incomplete Secundary,Incomplete Professional Education,Operator,Independent,Stratum 4,It is not classified by the SISBEN,Five,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,IE INEM FELIPE PEREZ,PUBLIC,TECHNICAL/ACADEMIC,56,68,66,65,76,EK201830064266,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,ELECTRIC ENGINEERING,89,68,92,97,86,186,186,94,5,4,2,2
SB11201220047684,F,Incomplete primary ,Complete Secundary,Operator,Home,Stratum 2,Level 1,Three,,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Between 1 and less than 2 LMMW,No,IE INEM FELIPE PEREZ,PUBLIC,TECHNICAL/ACADEMIC,55,59,61,58,46,EK201830063694,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,ELECTRIC ENGINEERING,77,85,82,63,42,195,166,78,4,4,1,2
SB11201220047708,F,Complete professional education,Complete Secundary,Independent,Operator,Stratum 2,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,IE INEM FELIPE PEREZ,PUBLIC,TECHNICAL/ACADEMIC,52,45,50,51,55,EK201830182439,UNIVERSIDAD LIBRE-PEREIRA,CIVIL ENGINEERING,45,34,58,63,71,94,150,57,3,3,2,2
SB11201220047833,F,Complete Secundary,Incomplete primary ,Independent,Home,Stratum 2,Level 1,Six,,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Between 1 and less than 2 LMMW,No,IE ESCUELA NORMAL SUPERIOR EL JARDIN,PUBLIC,TECHNICAL/ACADEMIC,45,49,56,47,48,EK201830031195,UNIVERSIDAD CATOLICA DE PEREIRA-PEREIRA,INDUSTRIAL ENGINEERING,57,64,75,28,22,132,148,53,3,3,2,2
SB11201220048139,M,Postgraduate education,Complete professional education,Executive,Technical or professional level employee,Stratum 5,It is not classified by the SISBEN,Five,,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,COL LA SALLE,PRIVATE,ACADEMIC,74,59,62,73,67,EK201830117378,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,MECHANICAL ENGINEERING,72,29,75,73,96,189,167,79,4,4,4,2
SB11201220048167,F,Complete technique or technology,Incomplete Professional Education,Independent professional,Home,Stratum 4,It is not classified by the SISBEN,Five,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,COL LA SALLE,PRIVATE,ACADEMIC,52,52,55,65,57,EK201830063931,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,INDUSTRIAL ENGINEERING,77,56,71,82,23,136,159,70,4,3,4,2
SB11201220048168,M,Complete professional education,Complete technique or technology,Technical or professional level employee,Technical or professional level employee,Stratum 5,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,No,COL LA SALLE,PRIVATE,ACADEMIC,59,47,60,56,65,EK201830205473,UNIVERSIDAD LIBRE-PEREIRA,CIVIL ENGINEERING,65,63,50,78,66,125,160,71,4,3,3,2
SB11201220048191,M,Incomplete technical or technological,Incomplete technical or technological,Small entrepreneur ,Auxiliary or Administrative,Stratum 4,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,COL LA SALLE,PRIVATE,ACADEMIC,59,67,66,62,80,EK201830117382,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,MECHANICAL ENGINEERING,89,82,92,87,37,183,176,88,5,4,2,2
SB11201220048207,F,Complete technique or technology,Incomplete Professional Education,Small entrepreneur ,Home,Stratum 5,It is not classified by the SISBEN,Six,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,COL LA SALLE,PRIVATE,ACADEMIC,65,54,62,59,58,EK201830108973,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,INDUSTRIAL ENGINEERING,46,65,72,77,93,116,167,80,5,4,2,2
SB11201220048216,M,Complete professional education,Complete professional education,Independent professional,Independent professional,Stratum 5,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,COL LA SALLE,PRIVATE,ACADEMIC,92,74,81,87,95,EK201830231696,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,MECHANICAL ENGINEERING,100,98,100,96,20,155,201,99,5,4,4,2
SB11201220048234,M,Complete professional education,Complete Secundary,Independent professional,Home,Stratum 3,It is not classified by the SISBEN,Three,,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,No,COL LA SALLE,PRIVATE,ACADEMIC,59,56,59,65,76,EK201830117404,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,MECHANICAL ENGINEERING,91,38,13,80,18,121,147,51,3,3,3,2
SB11201220048350,M,Not sure,Complete Secundary,Other occupation,Other occupation,Stratum 5,It is not classified by the SISBEN,Five,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,COL COOPERATIVO PEREIRA,PRIVATE,ACADEMIC,53,58,53,54,68,EK201830234297,UNIVERSIDAD LIBRE-PEREIRA,CIVIL ENGINEERING,94,14,39,78,14,140,147,52,3,3,3,2
SB11201220048492,F,0,Postgraduate education,0,0,Stratum 3,It is not classified by the SISBEN,Two,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,COLEGIO ADORATRICES,PRIVATE,TECHNICAL,59,70,82,59,64,EK201830108931,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,INDUSTRIAL ENGINEERING,83,83,61,93,81,172,178,89,5,4,3,2
SB11201220048575,F,0,0,0,Home,Stratum 3,Level 2,Four,,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,INSTITUCION EDUCATIVA MARIA AUXILIADORA,PUBLIC,TECHNICAL/ACADEMIC,58,54,53,53,54,EK201830108933,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,INDUSTRIAL ENGINEERING,18,3,27,39,1,103,110,5,1,1,2,2
SB11201220048832,F,Complete professional education,Complete professional education,Independent professional,Independent professional,Stratum 4,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,No,LIC MERANI,PRIVATE,ACADEMIC,59,67,77,55,54,EK201830027925,UNIVERSIDAD CATOLICA DE PEREIRA-PEREIRA,INDUSTRIAL ENGINEERING,58,73,82,81,88,131,172,85,5,4,4,2
SB11201220048993,F,Not sure,Incomplete Professional Education,Entrepreneur ,Entrepreneur ,Stratum 4,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,IE BOYACA,PUBLIC,TECHNICAL,59,67,68,64,59,EK201830063924,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,INDUSTRIAL ENGINEERING,91,82,82,67,30,161,168,80,5,4,2,2
SB11201220049028,F,Complete technique or technology,Complete professional education,Auxiliary or Administrative,Executive,Stratum 2,Level 1,Four,,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,IE BOYACA,PUBLIC,TECHNICAL,57,57,60,56,50,EK201830181855,UNIVERSIDAD LIBRE-PEREIRA,CIVIL ENGINEERING,12,56,51,49,43,93,138,37,2,2,3,2
SB11201220049097,M,Complete professional education,Complete professional education,Executive,Independent,Stratum 6,It is not classified by the SISBEN,Five,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,LICEO PINO VERDE,PRIVATE,ACADEMIC,64,66,69,65,82,EK201830108930,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,INDUSTRIAL ENGINEERING,96,51,12,84,43,157,155,65,4,3,4,2
SB11201220049142,M,Incomplete Secundary,Incomplete Secundary,Other occupation,Home,Stratum 2,Level 2,Nueve,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,IE JOSE ANTONIO GALAN,PUBLIC,ACADEMIC,64,58,60,64,60,EK201830065485,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,ELECTRIC ENGINEERING,78,37,27,88,28,120,151,58,3,3,1,2
SB11201220049164,M,Incomplete Secundary,Incomplete Secundary,Small entrepreneur ,Home,Stratum 4,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,IE REMIGIO ANTONIO CA¿ARTE-PROVIDENCIA,PUBLIC,ACADEMIC,59,51,56,58,42,EK201830129387,UNIVERSIDAD ANTONIO NARIÑO-BOGOTÁ D.C.,CIVIL ENGINEERING,69,80,61,23,0,163,124,16,1,1,1,2
SB11201220049188,M,0,0,0,Home,Stratum 4,It is not classified by the SISBEN,Four,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,IE MARIA DOLOROSA - FRANCISCO JAVIER,PUBLIC,TECHNICAL/ACADEMIC,46,48,52,47,46,EK201830063897,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,INDUSTRIAL ENGINEERING,82,44,54,52,39,153,151,58,3,3,3,2
SB11201220049192,M,Complete professional education,Complete Secundary,Independent professional,Auxiliary or Administrative,Stratum 5,Esta clasificada en otro Level del SISBEN,Four,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,IE MARIA DOLOROSA - FRANCISCO JAVIER,PUBLIC,TECHNICAL/ACADEMIC,56,55,57,52,59,EK201830032029,UNIVERSIDAD CATOLICA DE PEREIRA-PEREIRA,INDUSTRIAL ENGINEERING,82,54,42,73,11,119,149,55,3,3,4,2
SB11201220049359,M,0,Incomplete primary ,0,0,Stratum 4,It is not classified by the SISBEN,Two,,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Between 1 and less than 2 LMMW,0,COLEGIO MILITAR GENERAL RAFAEL REYES,PRIVATE,ACADEMIC,59,59,62,61,59,EK201830109000,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,INDUSTRIAL ENGINEERING,94,87,69,77,85,162,179,90,5,4,4,2
SB11201220049467,F,0,Incomplete primary ,0,0,Stratum 4,It is not classified by the SISBEN,Four,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,COL AMERICANO,PRIVATE,ACADEMIC,64,50,59,61,54,EK201830063610,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,ELECTRIC ENGINEERING,94,61,79,80,27,147,167,80,5,4,1,2
SB11201220049678,F,0,0,0,0,Stratum 2,It is not classified by the SISBEN,Three,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,IE DEOGRACIAS CARDONA,PUBLIC,TECHNICAL,51,64,66,53,58,EK201830108986,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,INDUSTRIAL ENGINEERING,71,89,67,77,0,143,137,36,2,2,2,2
SB11201220049731,M,Incomplete Secundary,Incomplete Secundary,Operator,Home,Stratum 3,Level 1,Five,,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,No,IE DEOGRACIAS CARDONA,PUBLIC,TECHNICAL,55,62,64,59,49,EK201830103170,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,ELECTRONIC ENGINEERING,51,42,4,72,3,75,128,21,2,1,2,2
SB11201220049941,F,Complete professional education,Complete professional education,Auxiliary or Administrative,Auxiliary or Administrative,Stratum 4,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,COL DEL INMACULADO CORAZON DE MARIA - FRANCISCANAS DE M.I.-PEREIRA,PRIVATE,TECHNICAL,52,49,50,52,62,EK201830123265,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,INDUSTRIAL ENGINEERING,22,9,14,47,59,109,126,19,1,1,3,2
SB11201220049972,M,Complete professional education,Complete technique or technology,Executive,Small entrepreneur ,Stratum 4,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,COL ABRAHAM LINCOLN,PRIVATE,ACADEMIC,50,45,45,55,46,EK201830136341,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,INDUSTRIAL ENGINEERING,36,36,21,56,51,155,137,35,2,2,1,2
SB11201220050186,M,Complete professional education,Complete professional education,Other occupation,Other occupation,Stratum 3,It is not classified by the SISBEN,Four,,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,COLEGIO SALESIANO SAN JUAN BOSCO,PRIVATE,ACADEMIC,84,67,66,88,52,EK201830108972,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,INDUSTRIAL ENGINEERING,83,94,97,72,60,145,179,90,5,4,4,2
SB11201220050205,M,Complete Secundary,Complete professional education,Entrepreneur ,Entrepreneur ,Stratum 3,It is not classified by the SISBEN,Five,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Between 5 and less than 7 LMMW,No,COLEGIO SALESIANO SAN JUAN BOSCO,PRIVATE,ACADEMIC,57,58,47,57,48,EK201830014464,UNIVERSIDAD EAFIT--MEDELLIN,MECHANICAL ENGINEERING,66,59,30,46,75,155,151,58,3,3,4,4
SB11201220050213,M,Complete professional education,Complete Secundary,Technical or professional level employee,Other occupation,Stratum 6,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,No,COLEGIO SALESIANO SAN JUAN BOSCO,PRIVATE,ACADEMIC,69,51,57,68,55,EK201830213690,UNIVERSIDAD LIBRE-PEREIRA,CIVIL ENGINEERING,98,67,72,88,6,132,165,78,4,4,2,2
SB11201220050233,M,Complete professional education,Complete professional education,Small entrepreneur ,Small entrepreneur ,Stratum 5,It is not classified by the SISBEN,Five,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,No,COLEGIO SALESIANO SAN JUAN BOSCO,PRIVATE,ACADEMIC,59,67,66,60,70,EK201830108902,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,INDUSTRIAL ENGINEERING,41,1,19,84,72,131,137,35,2,2,3,2
SB11201220050472,M,Complete Secundary,Complete Secundary,Retired,Home,Stratum 2,Level 2,Four,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,IE NUESTRA SEÑORA DE FATIMA,PUBLIC,TECHNICAL,58,59,64,58,50,EK201830117383,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,MECHANICAL ENGINEERING,73,45,63,79,68,135,162,73,4,3,2,2
SB11201220050518,F,Complete technique or technology,Complete professional education,Retired,Home,Stratum 3,It is not classified by the SISBEN,Five,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,COL LA ANUNCIACION,PRIVATE,ACADEMIC,57,62,60,56,65,EK201830031367,UNIVERSIDAD CATOLICA DE PEREIRA-PEREIRA,INDUSTRIAL ENGINEERING,68,78,76,79,12,151,159,70,4,3,3,2
SB11201220050524,F,Complete Secundary,Postgraduate education,Independent,Technical or professional level employee,Stratum 3,It is not classified by the SISBEN,Two,,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Between 3 and less than 5 LMMW,No,INSTITUCION EDUCATIVA MONSEÑOR ANTONIO JOSE GIRALDO GOMEZ,PUBLIC,ACADEMIC,66,67,60,69,64,EK201830113662,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,INDUSTRIAL ENGINEERING,81,76,73,35,58,169,160,72,4,3,2,2
SB11201220050536,F,Incomplete primary ,Incomplete primary ,0,0,Stratum 3,It is not classified by the SISBEN,Four,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,COLEGIO DIOCESANO MONSENOR BALTASAR ALVAREZ R.,PRIVATE,TECHNICAL/ACADEMIC,62,68,68,73,49,EK201830108979,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,INDUSTRIAL ENGINEERING,99,37,86,30,43,159,161,73,4,3,4,2
SB11201220050537,M,Complete Secundary,Complete professional education,Operator,Other occupation,Stratum 3,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,"Yes, 20 hours or more per week",COLEGIO DIOCESANO MONSENOR BALTASAR ALVAREZ R.,PRIVATE,TECHNICAL/ACADEMIC,48,51,56,58,55,EK201830108980,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,INDUSTRIAL ENGINEERING,68,80,72,73,86,148,171,83,5,4,2,2
SB11201220050544,M,Complete Secundary,Complete Secundary,Independent,Independent,Stratum 3,It is not classified by the SISBEN,Two,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,No,COLEGIO DIOCESANO MONSENOR BALTASAR ALVAREZ R.,PRIVATE,TECHNICAL/ACADEMIC,72,62,53,69,82,EK201830117359,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,MECHANICAL ENGINEERING,100,78,79,95,13,151,177,89,5,4,2,2
SB11201220050586,M,Incomplete Secundary,Incomplete Secundary,Executive,Home,Stratum 1,Level 2,Five,,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,less than 1 LMMW,No,IE VILLA SANTANA,PUBLIC,ACADEMIC,60,53,64,64,52,EK201830065217,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,ELECTRIC ENGINEERING,92,96,71,65,22,160,169,81,5,4,1,2
